sensorId,userId
1,MySensor
2,TestUnit
3,CitizenScientist
4,ASWillhiem
5,CitizenScientist
6,MySensor
7,MySensor
8,MySensor
9,MySensor
10,HSS
11,RichardFox
12,CitizenScientist
13,HSS
14,AS-3
15,CitizenScientist
16,CitizenScientist
17,HiMarkHS
18,HiMarkHS
19,CitizenScientist
20,CitizenScientist
21,CitizenScientist
22,HSS
23,XrayLady
24,CitizenScientist
25,CitizenScientist
26,CitizenScientist
27,CitizenScientist
28,AS-1
29,AS-2
30,PeterLovesCrystals54
31,RadCurieous
32,GermanWrinkler43
33,CitizenScientist
34,CitizenScientist
35,HiMarkHS
36,CitizenScientist
37,Bob
38,ProfessorSievert
39,CitizenScientist
40,MutantX
41,CitizenScientist
42,AlwaysGlowing
43,CitizenScientist
44,TaxiDriver
45,CitizenScientist
46,Ckimball
47,UncleG
48,NeutronsAreFreeOfCharge
49,MySensor
50,MySensor
