timestamp,location,account,message
2020-04-09 21:00:00,Northwest,"John_FreemanBird97","really need to use rumble after that earthquake!"
2020-04-09 21:01:00,Southton,"Berger30","I hate all the loggerheaded hugger-muggers lying around..."
2020-04-09 21:01:00,Scenic Vista,"DerekLazyVerstraete","I am annoyed by my doghearted maggot-pie neighbor."
2020-04-09 21:03:00,Cheddarford,"FleetCIcecream25","re: The Magritte Bridge has is re-opened. Portions are one-lane.  Please be courteous in your use."
2020-04-09 21:03:00,Downtown,"Syndicated4","thrilling deals. quaking chances to make your Monday even better!"
2020-04-09 21:03:00,Cheddarford,"DarkHudspethCar1967","re: The art style has the appearance of crayon/pencil drawings and is cool because most cases are just open there allowing the screen is nice and clear, with great picture quality."
2020-04-09 21:04:00,West Parton,"Syndicated5","Grip onto this dramatic opportunity! #FTWGripWonder"
2020-04-09 21:04:00,Terrapin Springs,"FleetHouseMark_Roberts","re: My friend, Diana, is moving away. Can't blame them after this."
2020-04-09 21:04:00,Palace Hills,"JordanWantsBac0n","moving opportunities abound. Take advantage Friday! #TakeWonder"
2020-04-09 21:05:00,Southwest,"Myrtle71W","Apparently part of the accident......who was the owner of the building just collapsed. she everyone is ok. #Hatepart"
2020-04-09 21:05:00,Southton,"TallJCar","re: My friend, Diana, is moving away. Can't blame them after this."
2020-04-09 21:05:00,Weston,"TallMarkLight","You absolutely need to snatch rumble!"
2020-04-09 21:06:00,Old Town,"CWileyDepeyster","re: sister said Elementary School was open. Got there and it was closed!"
2020-04-09 21:06:00,Old Town,"FleetSIcecream68","re: My friend, Diana, is moving away. Can't blame them after this."
2020-04-09 21:06:00,Cheddarford,"HagemannWhale1989","Shelter is crowded and stuffy, but its nice to have a roof over my head again"
2020-04-09 21:07:00,Southwest,"Jennifer16M","re: The art style has the appearance of crayon/pencil drawings and is cool because most cases are just open there allowing the screen is nice and clear, with great picture quality."
2020-04-09 21:09:00,West Parton,"TallMLight","6.4 in anyone it anything they something anyone and something they someone is now in effect. they safe everyone!"
