timestamp,location,account,message
2020-04-07 00:00:00,Southton,"Huynh1972","Works up!  Out of always somewhat-safe and off to homeward..."
2020-04-07 00:00:00,Downtown,"BusyEHouse1971","Works up!  Off to Pimennto Greenhouse..."
2020-04-07 00:00:00,Terrapin Springs,"CandidCharmaineLight","Works up!  Out of power plant and off to home..."
2020-04-07 00:00:00,Cheddarford,"Roni_Stoner56","Works up!  Out of Always Safe and off to the bar..."
2020-04-07 00:01:00,Oak Willow,"CantonCoordon2","Grip onto this astonishing opportunity!"
2020-04-07 00:01:00,Southwest,"SmartBBowl80","I got the best parking spot at usallysusallyally safe!"
2020-04-07 00:01:00,Old Town,"Nolan_Green2","Works up!  Off to home... #GreatOff"
2020-04-07 00:01:00,Northwest,"AbernethyHorse8","&The right thing to do: it for nuclear energy, and reduced fossil fuel sales. he for opposition?"
2020-04-07 00:01:00,Pepper Mill,"LovesLeonard_PetersonHorse","something ewk, your cowardly arse."
2020-04-07 00:02:00,Broadview,"R93Bronn","Works up!  Outeh of power planteh and off teho tehhe bar..."
2020-04-07 00:02:00,Southton,"FleetGlidewellCouch","Headed Orange Flies. @Roni_Stoner56"
2020-04-07 00:02:00,Southton,"WatchesCristHorse","Works up!  Off to Auspiciuos Bows..."
2020-04-07 00:03:00,Chapparal,"GuapoWolfeBanana55","See you all after my always safe shift!"
2020-04-07 00:03:00,Weston,"GuapoLightConnie_Melby","Works up!  Out of always somewhat-safe and off to Pimento Greenhouse..."
2020-04-07 00:04:00,Northwest,"HoldsGuillermo_LawtonHorse","Works up!  Out of always somewhat-safe and off to Orange Flies..."
2020-04-07 00:04:00,Weston,"LyleCleverT","See you all after my usually safe shift!"
2020-04-07 00:04:00,Southton,"CandidPlateDakins","See you all after my reasonably safe shift!"
2020-04-07 00:05:00,Downtown,"AttentativeBluntIcecream31","See you all after my Always Safe(ish) shift! #SafeishCan"
2020-04-07 00:05:00,Chapparal,"LovesMargaretLion","Works up!  Off to Sandwich Queen..."
2020-04-07 00:05:00,Downtown,"FamousCarCynthia_Powe","Works up!  Out of Always Safe and off to Auspiciuos Bows..."
2020-04-07 00:05:00,Southwest,"GuapoEBread94","I got the best parking spot at usually safe!"
2020-04-07 00:05:00,Southton,"LovesWagnerFish","Works up!  Off to Orange Flies..."
2020-04-07 00:05:00,West Parton,"handle","vibrate with this dangerous great deal! #WinsdealWaste"
2020-04-07 00:07:00,Palace Hills,"Opportunities1","Grasp onto the forelock, right now! You'll be glad you did!"
2020-04-07 00:09:00,Old Town,"BusyMarshaBowl","really need to use rumble after that aftershock! #rumble"
2020-04-07 00:10:00,Southton,"NaefBird51","Best pa about the new nuclear power plants? green energy news"
2020-04-07 00:10:00,Weston,"LawrenceObnoxiousL","I hate all the venomed apple-johns lying around..."
2020-04-07 00:11:00,Scenic Vista,"______3333_____","breathtaking opportunities that will move you!"
2020-04-07 00:12:00,Weston,"Syndicated5","Only Nine days left to take advanage of this shaking deal!"
2020-04-07 00:13:00,Old Town,"DarkMontanoPlate","I hate all the frothy maggot-pies lying around..."
